thread_id,num_posts
9920,1968
10022,290
10354,283
10371,221
10112,218
9978,213
9823,188
10030,182
11633,161
10674,159
10937,155
11283,154
10177,153
10654,148
10051,145
12171,143
9965,137
12150,131
10905,129
10493,127
10548,126
9910,126
10189,125
11859,121
10479,118
9997,115
7101,112
10008,105
12770,103
9828,100
4584,99
18306,97
19630,92
14220,90
10883,89
9966,87
10216,86
13370,86
10382,84
10739,83
24661,83
14116,83
12358,83
10331,82
9994,79
4561,78
18063,78
15524,78
13965,75
10238,75
9821,75
10713,74
13823,73
10443,73
15292,73
13082,73
18994,72
11443,71
10419,69
10969,69
13092,69
9874,69
10614,66
12195,66
12282,65
20757,64
14227,64
11820,63
13982,63
10295,63
10630,62
16762,62
16527,62
14117,62
11498,61
15971,61
10412,60
13595,60
16353,60
28978,60
13769,59
10897,59
14153,59
13634,58
23183,58
10497,58
13604,57
14279,57
10660,57
16704,57
11423,56
13867,56
12833,56
11330,56
10562,56
10637,56
19742,55
20314,55
12439,55
10089,54
12906,54
11906,54
10314,53
18383,53
30920,53
5587,53
10549,53
15777,53
13101,51
13376,51
12476,50
11446,50
33126,50
16407,50
11722,50
617,49
5747,49
10455,49
10453,49
13447,48
13900,48
10013,48
14436,48
9975,48
10329,48
11410,47
16028,47
14000,47
11360,47
10856,47
12405,46
16360,46
828,46
12951,46
9925,45
13674,45
13559,45
9818,45
11346,45
14066,45
14373,45
13292,45
1639,45
23602,44
5309,44
11176,44
2622,44
10339,44
10001,44
8894,44
14793,44
11519,43
10350,43
16328,43
12526,43
10072,43
13007,42
15850,42
10240,42
15468,42
10488,42
11178,42
10074,42
19788,42
11307,41
7114,41
10848,41
13879,41
10201,41
19297,40
15083,40
20024,40
9897,40
1744,40
11469,39
24270,39
12016,39
10814,39
17775,39
862,39
15874,39
12800,39
15309,39
13590,39
14666,39
11035,39
10206,39
12110,39
11068,38
22102,38
13725,38
7875,38
9832,38
10029,38
11418,38
19347,38
1767,37
14696,37
15019,37
4645,37
10038,37
10070,37
14164,37
10931,37
24402,37
27398,37
11266,36
6189,36
12318,36
818,36
14090,36
13910,36
15831,36
17660,36
11624,36
9825,36
16080,36
17921,36
13329,36
10693,35
20496,35
17187,35
34322,35
23550,35
14100,35
12538,35
10279,35
11599,34
10631,34
15358,34
10786,34
11436,34
9894,34
13855,34
10140,34
12857,34
10017,34
8298,34
22356,34
20669,34
19707,33
9958,33
13045,33
10000,33
12873,33
568,33
6612,33
11453,33
22534,33
12564,33
2612,33
12736,33
13393,33
12325,33
15903,33
17144,33
13544,33
11102,33
12218,33
24281,33
15479,32
11197,32
13886,32
19814,32
15470,32
16659,32
9858,32
3843,32
12371,32
21759,32
16802,32
13724,31
11388,31
32025,31
11438,31
11874,31
11180,31
9899,31
2571,31
17057,31
16928,31
5467,31
13156,31
10050,31
12968,31
26113,31
10918,31
10400,31
16415,31
11369,31
19897,30
10457,30
16586,30
10729,30
25070,30
13457,30
26961,30
12886,30
5432,30
26717,30
10691,30
11353,30
1195,30
7854,30
14476,30
10945,30
12124,30
10868,30
6083,30
10908,29
10361,29
11872,29
5145,29
12766,29
13941,29
23171,29
11561,29
18318,29
10358,29
1197,29
13731,29
13775,29
13095,29
1305,29
22545,29
5847,29
18952,29
15031,29
12277,29
15027,29
8976,29
20,28
15439,28
2391,28
13781,28
12930,28
9855,28
11499,28
7187,28
14130,28
7540,28
11939,28
2691,28
10947,28
2692,28
22359,28
3134,28
10879,28
15673,28
4559,28
