screen_name,user_type,text,created_at,originator,replied_to
esraa_ali,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:08:32,true,Dima_Khatib
Peaceful_Anon,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:08:32,false,n/a
BuJabal,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:08:38,false,Dima_Khatib
vipulananda,normal_user,"Al Jazeera TV makes waves with Tunisia coverage, Egypt Politics - Maktoob News http://bit.ly/dHMmxW",2011-01-24 17:08:45,false,n/a
bea_dtj,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:08:48,false,Dima_Khatib
tutuxochipilli,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:09:00,false,Dima_Khatib
monaeltahawy,celeb,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:10:51,false,n/a
condormar55,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:11:14,false,Dima_Khatib
Amira_Nosseir,normal_user,وكما قالت الست: يا سلام على الأمه ... في وحدة الكلمة #jan25 #Egypt,2011-01-24 17:11:31,false,n/a
AkherElAkhbar,normal_user,#Egypt #Jan25فيديو -- مينا أنا نازل يوم 25 عشان انا مصري قبل ما أكون مسيحي http://t.co/1ew3nka,2011-01-24 17:11:33,false,n/a
Colttech,normal_user,RT @condormar55 RT @Dima_Khatib Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:12:21,false,n/a
ahmedzakiosman,normal_user,"الوول بتاع صفحة خالد سعيد على الفيس بوك موش هيتحدث يوم 25 يناير 
http://on.fb.me/frVTSU #Egypt #Jan25 #egypolice",2011-01-24 17:12:36,false,n/a
soniaferchichi,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:13:05,false,Dima_Khatib
ahmedzakiosman,normal_user,"محامون يتوجهون للمبيت فى النقابة استعداداً لمظاهرات غد
http://bit.ly/g0XEaB #Egypt #Jan25 #egypolice",2011-01-24 17:13:16,false,n/a
ArouaBenSalah,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:13:22,false,Dima_Khatib
Alexandrian74,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:14:12,false,Dima_Khatib
palestine_4ever,normal_user,"RT @ahmedzakiosman: محامون يتوجهون للمبيت فى النقابة استعداداً لمظاهرات غد
http://bit.ly/g0XEaB #Egypt #Jan25 #egypolice",2011-01-24 17:14:40,false,ahmedzakiosman
AnonymousIRC,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:14:59,false,Dima_Khatib
ahmedzakiosman,normal_user,"نشطاء نوبيون يعلنون مشاركتهم فى مظاهرات 25 يناير
http://bit.ly/grarC8  #Egypt #Jan25 #egypolice",2011-01-24 17:16:00,false,n/a
MarcoMago,normal_user,RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:16:08,false,Dima_Khatib
404samiTunis,normal_user,RT @Khalilbm: RT @Dima_Khatib: Tomorrow : protests are planned in Egypt. We will be using hashtag #jan25 + if you can: #sidibouzid too,2011-01-24 17:16:15,false,Khalilbm
AkherElAkhbar,normal_user,#Egypt #Jan25محامون يتوجهون للمبيت فى النقابة استعداداً لمظاهرات غد http://t.co/plV9BqX,2011-01-24 17:16:25,false,n/a
