screen_name,user_type,text,created_at,originator,replied_to
MrBassam,normal_user,RT @AhmedMoneim: Twitter Blocked in Egypt As Protests Turn Violent http://t.co/x4Xq1o6 via @mashable #Egypt #Jan25,2011-01-25 10:59:17,true,n/a
ZeenaKurdi,normal_user,Twitter Blocked in Egypt As Protests Turn Violent http://t.co/I9U4Jtq via @mashsocialmedia @mashable,2011-01-25 10:59:44,false,n/a
mostafamazen,normal_user,RT @mashable: Twitter Blocked in Egypt As Protests Turn Violent - http://on.mash.to/eibQPA,2011-01-25 11:00:00,false,n/a
williamSnichols,normal_user,RT @mashable: Twitter Blocked in Egypt As Protests Turn Violent - http://on.mash.to/eibQPA,2011-01-25 11:05:00,false,mashable
kaulukukui,normal_user,RT @mostafanageeb: RT @AhmedMoneim: Twitter Blocked in Egypt As Protests Turn Violent http://t.co/x4Xq1o6 via @mashable #Egypt #Jan25,2011-01-25 11:05:02,false,MostafaNageeb
RESQBug,normal_user,RT @steveplunkett: Twitter Blocked in Egypt As Protests Turn Violent http://t.co/G8SARsj #egypt,2011-01-25 11:09:46,false,steveplunkett
Angie_Jenkins,normal_user,Twitter Blocked in Egypt As Protests Turn Violent http://t.co/amJXccO via @mashsocialmedia @mashable,2011-01-25 11:09:58,false,n/a
youben12,normal_user,RT @WajdyM: Twitter Blocked in Egypt As Protests Turn Violent http://t.co/QuObHze via @mashsocialmedia @mashable #Egypt #jan25,2011-01-25 11:14:26,false,WajdyM
XSMLive,normal_user,Twitter Blocked in Egypt As Protests Turn Violent http://on.mash.to/fg8cg2,2011-01-25 11:14:37,false,n/a
stevedevine,normal_user,RT @mashable: Twitter Blocked in Egypt As Protests Turn Violent - http://on.mash.to/eibQPA,2011-01-25 11:15:04,false,mashable
ccbyington,normal_user,Twitter Blocked in Egypt As Protests Turn Violent http://t.co/DXqX5Qs via @mashsocialmedia @mashable,2011-01-25 11:25:19,false,n/a
wasime,normal_user,Twitter Blocked in Egypt As Protests Turn Violent http://t.co/ukXwWp2 via @mashsocialmedia @mashable,2011-01-25 11:30:17,false,n/a
click4tweets,normal_user,RT @mashsocialmedia: Twitter Blocked in Egypt As Protests Turn Violent - http://on.mash.to/eibQPA,2011-01-25 11:40:00,false,mashsocialmedia
joshhaywood430,normal_user,Twitter Blocked in Egypt As Protests Turn Violent: http://on.mash.to/gViHlM,2011-01-25 11:40:07,false,n/a
Shefaa,normal_user,Twitter Blocked in #Egypt As Protests Turn Violent http://t.co/ioMHLfq via @mashsocialmedia @mashable #Censure #Jan25,2011-01-25 11:49:50,false,n/a
olaonline,normal_user,RT @rmakarati: Twitter Blocked in Egypt As Protests Turn Violent http://t.co/nKxtWm8 via @mashsocialmedia @mashable,2011-01-25 11:54:24,false,rmakarati
colemanchelsea,normal_user,RT @mashable: Twitter Blocked in Egypt As Protests Turn Violent - http://on.mash.to/eibQPA,2011-01-25 11:54:41,false,n/a
BridgetAyers,normal_user,Twitter Blocked in Egypt As Protests Turn Violent http://ow.ly/3K4Qi,2011-01-25 11:54:44,false,n/a
Filippogiani,normal_user,RT @CrossingTV: RT @mashable: Twitter Blocked in Egypt As Protests Turn Violent - http://on.mash.to/eibQPA,2011-01-25 11:55:03,false,CrossingTV
mojosmarty08,normal_user,RT @invisible: Twitter Blocked in Egypt As Protests Turn Violent http://ow.ly/3K3r1,2011-01-25 11:59:12,false,invisible
Web2N,normal_user,Twitter Blocked in Egypt As Protests Turn Violent (Mashable) http://tinyurl.com/4r4hghr,2011-01-25 12:01:12,false,n/a
johnytyh,normal_user,RT @mashable: Twitter Blocked in Egypt As Protests Turn Violent - http://on.mash.to/eibQPA,2011-01-25 12:10:11,false,mashable
ralkaabi,normal_user,RT @mashable: Twitter Blocked in Egypt As Protests Turn Violent - http://on.mash.to/eibQPA,2011-01-25 12:12:40,false,mashable
RENJITH26,normal_user,Twitter Blocked in Egypt As Protests Turn Violent http://lnkd.in/E53Xv9,2011-01-25 12:13:11,false,n/a
