relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,relevant_user_gets_retweeted,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,relevant_total,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
n/a,31,0.999244555590289,"",2007-04-01 06:22:13,WSJ,n/a,0.0,"",153,0.935483870967742,n/a,0.999244555590289,1.0,29,20348,n/a,0,626488,0.999244555590289
n/a,119,0.998984057517974,"",2007-03-27 11:19:39,washingtonpost,n/a,0.0,"",7214,0.974789915966387,n/a,0.998984057517974,1.0,116,22373,n/a,0,307620,0.998984057517974
n/a,12,0.999713452120454,"",2007-02-09 00:35:02,cnn,n/a,0.0,"",535,1.0,n/a,0.999713452120454,1.0,12,18780,n/a,0,1584697,0.999713452120454
n/a,21,0.998332812337189,"",2007-03-24 10:48:14,cnni,n/a,0.0,"",227,0.904761904761905,n/a,0.998332812337189,1.0,19,37322,n/a,0,133530,0.998332812337189
n/a,77,0.999973950192769,"",2007-01-02 01:48:14,cnnbrk,n/a,0.0,"",31,0.987012987012987,n/a,0.999973950192769,1.0,76,7604,n/a,0,3801439,0.999973950192769
n/a,14,0.988147337709701,"",2009-09-03 20:21:30,cnnpr,n/a,0.0,"",250,0.428571428571429,n/a,0.988147337709701,1.0,6,2251,n/a,0,8698,0.988147337709701
n/a,28,0.997655517349172,"",2007-10-04 14:58:27,cnnlive,n/a,0.0,"",308,0.964285714285714,n/a,0.997655517349172,1.0,27,4830,n/a,0,73125,0.997655517349172
n/a,6,0.999166406168594,"",2009-04-21 12:14:47,CNNee,n/a,0.0,"",170,1.0,n/a,0.999166406168594,1.0,6,5004,n/a,0,408503,0.999166406168594
n/a,n/a,0.997681567156403,"",2007-10-20 20:14:41,CNN_Newsroom,n/a,n/a,"",840,n/a,n/a,0.997681567156403,n/a,"",3118,n/a,"",76158,0.997681567156403
n/a,49,0.997525268313014,"",2007-10-04 21:12:49,PoliticalTicker,n/a,0.0,"",23,0.775510204081633,n/a,0.997525268313014,1.0,38,26535,n/a,0,69055,0.997525268313014
n/a,7,0.993695946649995,"",2010-11-05 19:13:10,PiersTonight,n/a,0.0,"",60,0.857142857142857,n/a,0.993695946649995,1.0,6,383,n/a,0,18912,0.993695946649995
1.0,3,0.992940502240283,2,2007-12-10 14:19:07,iDeskCNN,1.0,0.0,0,2141,0.666666666666667,2,0.992940502240283,1.0,2,11475,0.0,0,16735,0.992940502240283
1.0,10,0.992367406481192,1,2009-06-05 16:49:34,natlsecuritycnn,1.0,0.0,0,1373,0.9,1,0.992367406481192,1.0,9,2580,0.0,0,15090,0.992367406481192
n/a,22,0.994269042409086,"",2009-03-05 18:49:43,cnnAM,n/a,0.0,"",182,0.545454545454545,n/a,0.994269042409086,1.0,12,5150,n/a,0,20948,0.994269042409086
n/a,n/a,0.988225487131395,"",2008-11-02 10:52:24,CNNsotu,n/a,n/a,"",123,n/a,n/a,0.988225487131395,n/a,"",801,n/a,"",8788,0.988225487131395
n/a,3,0.989033031155569,"",2007-12-10 14:29:26,BackStory,n/a,0.0,"",2698,0.666666666666667,n/a,0.989033031155569,1.0,2,4486,n/a,0,9478,0.989033031155569
n/a,56,0.999921850578306,"",2008-04-03 13:54:30,time,n/a,0.0,"",140,1.0,n/a,0.999921850578306,1.0,56,19481,n/a,0,2324680,0.999921850578306
1.0,107,0.999374804626446,2,2008-04-24 14:07:28,huffingtonpost,1.0,0.0,0,4716,0.990654205607477,2,0.999374804626446,1.0,106,46586,0.0,0,838932,0.999374804626446
1.0,63,0.999947900385537,1,2007-03-02 20:41:42,NYTimes,1.0,0.0,0,192,1.0,1,0.999947900385537,1.0,63,58260,0.0,0,2894219,0.999947900385537
