ABC,1
ABCNews,1
ABCNewsNews,1
ABCWorldNews,1
ahramonline,1
AJArabic,1
AJELive,1
AJEnglish,1
AJNLive,1
AJTalk,1
AlArabiya_Eng,1
almasryalyoum_a,1
AlMasryAlYoum_E,1
ANCALERTS,1
BackStory,1
BBC_HaveYourSay,1
bbcbrasil,1
BBCBreaking,1
BBCNewsnight,1
BBCWorld,1
CBSNews,1
cnn,1
CNN_Newsroom,1
cnnAM,1
cnnbrk,1
CNNee,1
cnni,1
cnnlive,1
cnnpr,1
CNNsotu,1
DailyNewsEgypt,1
democracynow,1
france24_ar,1
guardian,1
guardian_world,1
guardiannews,1
iDeskCNN,1
inquirerdotnet,1
Jeune_Afrique,1
la_informacion,1
lemondefr,1
liputan6dotcom,1
Metro_TV,1
MideastChannel,1
Nightline,1
nprnews,1
nprpolitics,1
NYTimes,1
nytimespolitics,1
nytimesworld,1
PiersTonight,1
PoliticalTicker,1
r4today,1
reuters,1
Shorouk_News,1
skynewsbreak,1
TheDailyShow,1
thelede,1
time,1
washingtonpost,1
WSJ,1
WSJMidEast,1
abdu,2
abdullahmussa,2
abkamal,2
abuaardvark,2
adamakary,2
adammynott,2
ajimran,2
AlanFisher,2
Almatrafi,2
AlOraibi,2
ammr,2
AndersonCooper,2
Andy_Burton,2
anjucomet,2
arwadamonCNN,2
AsemGH,2
ashrafkhalil,2
asiehCNN,2
attackerman,2
AymanM,2
AzmatZahra,2
barbarastarrCNN,2
bbclysedoucet,2
BenCNN,2
BillWeirABC,2
blakehounshell,2
Brian_Whit,2
brianstelter,2
camanpour,2
CNNjill,2
DannyRamadan,2
DavidClinchNews,2
DavidMuirABC,2
Dima_Khatib,2
edhenryCNN,2
eliselabottCNN,2
etanowitz,2
Evanchill,2
fpleitgenCNN,2
ginamariepace,2
glcarlstrom,2
habibahamid,2
hackneylad,2
hadeelalsh,2
HalaGorani,2
ianinegypt,2
ibnezra,2
IvanCNN,2
jaketapper,2
jamaldajani,2
JamjoomCNN,2
jaredbkeller,2
jaycbee,2
jeremyscahill,2
jmayton,2
JohnKingCNN,2
jonsnowC4,2
jrug,2
katiecouric,2
KeithOlbermann,2
KiritRadia_ABC,2
klustout,2
LaraABCNews,2
lizzieohreally,2
