screen_name,user_type,text,created_at,originator,replied_to
NohaBasiony,normal_user,"RT @EgyFeeds: ""الجزيرة"" تكشف عن وثائق جديدة لتنازلات السلطة الفلسطينية http://dlvr.it/F0prJ #Egypt",2011-01-24 13:46:23,true,EgyFeeds
sayghal,normal_user,RT @AmnestyOnline: News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY  #humanrights ^eh,2011-01-24 13:46:09,false,AmnestyOnline
ahmedreda88,normal_user,مش معني إني مش نازل بكره إني مش بموت في مصر! أو إني مش ضد الظلم !  كل واحد ليه طريقته في الإصلاح.  ربنا يوفق الجميع. #egypt,2011-01-24 13:45:37,false,n/a
HCPworldwide,normal_user,RT @AmnestyOnline: News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY  #humanrights ^eh,2011-01-24 13:45:25,false,AmnestyOnline
TAdder_Forum,normal_user,RT @AmnestyOnline: News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY  #humanrights ^eh,2011-01-24 13:45:04,false,n/a
liberationtech,6,RT @sayghal: RT @AmnestyOnline: News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY  #humanrights ^eh,2011-01-24 15:06:36,false,sayghal
AlaAwaysheh,normal_user,"RT @Lina18
http://bit.ly/hZrHVa كل ما تريد أن تعرفه عن مظاهرات ثورة يوم 25 #Jan25 #Egypt",2011-01-25 01:03:32,false,Lina18
Amira_Nosseir,normal_user,#Egypt RT @mar3e: RT: @alaa: ♻ @ranwayehia: السفارتان الكندية و الأميركية في القاهرة يرسلون تحذيرات لرعاياهم بتجنب مظاهرات اليوم #Jan25,2011-01-25 01:02:32,false,n/a
ammaralnakeeb,normal_user,"عااااااااااااااجل / خروج مجموعات مفاجاءة تجوب شوارع دار السلام بالقاهره مرددين تحيا مصر ,, الحريه والرغيف مطلب كل مصرى شريف #jan25 #Egypt",2011-01-25 01:02:19,false,n/a
RajaDoc,normal_user,#Amnesty News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY #protectthehuman,2011-01-25 01:02:16,false,n/a
SamarAshmawi,normal_user,"RT @EngSeif: عااااااااااااااجل / خروج مجموعات مفاجاءة تجوب شوارع دار السلام بالقاهره مرددين تحيا مصر ,, الحريه والرغيف مطلب كل مصرى شريف ...",2011-01-25 01:02:16,false,EngSeif
rezo007,normal_user,#Egypt #bey2ollak : المنصورة | إنتشار أمني مكثف في الإستاد ، وعند جامع النصر .. والوضع هاديء,2011-01-25 01:02:15,false,n/a
alonsi,normal_user,"RT @JomanaFarahat: لو بس مشجعين الكره ينزلو الشارع انهارده...مصر هتكسب
#Jan25 #Egypt",2011-01-25 01:02:10,false,JomanaFarahat
robwinder,normal_user,RT @AmnestyOnline: News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY  #humanrights ^eh,2011-01-25 01:02:01,false,AmnestyOnline
evo_one8,normal_user,RT @AmnestyOnline News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY #humanrights ^eh,2011-01-25 01:01:44,false,AmnestyOnline
AmnestyOnline,normal_user,News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY  #humanrights ^eh,2011-01-25 01:00:07,false,n/a
Wael_Aziz,normal_user,"RT @Dr_Online: RT @JomanaFarahat: لو بس مشجعين الكره ينزلو الشارع انهارده...مصر هتكسب
#Jan25 #Egypt",2011-01-25 01:08:35,false,Dr_Online
Dr_Online,normal_user,"RT @JomanaFarahat: لو بس مشجعين الكره ينزلو الشارع انهارده...مصر هتكسب
#Jan25 #Egypt",2011-01-25 01:05:56,false,JomanaFarahat
sohachi,normal_user,RT @AmnestyOnline: News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY  #humanrights ^eh,2011-01-25 01:05:51,false,AmnestyOnline
Khaffousa,normal_user,"RT @Rawanq: RT""@samihtoukan: اذا الشعب يوما اراد الحياه فلابد ان يستجيب القدر ولابد لليل ان ينجلى ولابد للقيد ان ينكسر  #Sidibouzid #jan ...",2011-01-25 01:15:20,false,Rawanqubrosi
LumaQ,normal_user,RT @AlaAwaysheh: RT @Lina18 http://bit.ly/hZrHVa كل ما تريد أن تعرفه عن مظاهرات ثورة يوم 25 #Jan25 #Egypt,2011-01-25 01:15:08,false,AlaAwaysheh
bataleh,3,"RT @Lina18: http://bit.ly/hZrHVa
كل ما تريد أن تعرفه عن مظاهرات ثورة يوم 25
#Jan25 #Egypt",2011-01-25 01:20:02,false,Lina18
Abu_Xales,normal_user,News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY #humanrights ^eh /@AmnestyOnline,2011-01-25 01:24:45,false,n/a
jonathand,normal_user,RT @AmnestyOnline: News - #Egypt urged to allow peaceful mass protests http://bit.ly/etCIxY  #humanrights ^eh,2011-01-25 01:34:17,false,AmnestyOnline
