screen_name,user_type,text,created_at,originator,replied_to
omardxb,normal_user,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 16:48:08,true,weddady
weddady,3,"#Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 16:47:54,false,n/a
Zalduna,normal_user,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 16:54:21,false,weddady
petedavo_au,normal_user,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 16:53:20,false,weddady
AzizaSami,3,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 16:53:09,false,weddady
drQla,normal_user,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 16:55:25,false,n/a
JoelleJackson,normal_user,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 16:55:07,false,weddady
Ghafari,normal_user,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 16:55:04,false,weddady
MuslimNewMedia,normal_user,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 17:02:10,false,weddady
ionstp,normal_user,"RT @KnowledgeEmpire: #Egypt day summary: Suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more.  ...",2011-01-26 17:09:39,false,KnowledgeEmpire
moni__K,normal_user,"RT @KnowledgeEmpire: #Egypt day summary: Suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more.  ...",2011-01-26 17:06:13,false,KnowledgeEmpire
EmadSaad7,normal_user,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 17:00:10,false,weddady
kayehia,normal_user,"RT @KnowledgeEmpire: #Egypt day summary: Suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more.  ...",2011-01-26 17:11:14,false,KnowledgeEmpire
hocinedim,normal_user,"RT @KnowledgeEmpire: #Egypt day summary: Suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more.  ...",2011-01-26 17:10:34,false,n/a
Anon_Lobo,normal_user,"RT @KnowledgeEmpire: #Egypt day summary: Suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more.  ...",2011-01-26 17:15:47,false,KnowledgeEmpire
pirata_madrid,normal_user,"RT @KnowledgeEmpire: #Egypt day summary: Suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more.  ...",2011-01-26 17:16:45,false,n/a
freddydeknatel,normal_user,"RT @weddady #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 17:23:43,false,weddady
youben12,normal_user,"RT @SaloumehZ: RT @weddady #Egypt day summary: Suez city of resistance, Cairo police near exhaustion, youth moral very high & promising  ...",2011-01-26 17:34:08,false,SaloumehZ
women4peace,normal_user,"RT @weddady: #Egypt day summary: suez city of resistance, Cairo police near exhaustion, youth moral very high & promising more. #Jan25",2011-01-26 17:31:26,false,weddady
