screen_name,user_type,text,created_at,originator,replied_to
htrk,normal_user,RT @nawaat Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:28:26,true,nawaat
barbary902006,normal_user,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:27:51,false,nawaat
frompatagonia,normal_user,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:26:54,false,nawaat
nawaat,5,Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:25:15,false,n/a
DIDONTWENSA,normal_user,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:34:10,false,nawaat
After_Eight,normal_user,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:33:56,false,nawaat
ifikra,3,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:33:40,false,nawaat
H_a_z_e_m,normal_user,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:33:34,false,nawaat
hadouta,normal_user,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:33:08,false,nawaat
GabyVerdier,normal_user,RT @frompatagonia: RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:31:23,false,frompatagonia
LiberateTunisia,normal_user,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:39:16,false,nawaat
ehabmes,normal_user,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:39:03,false,nawaat
shackow,normal_user,RT @nawaat: Call for Civil disobedience - اعلان العصيان المدني #sidibouzid http://post.ly/1TxYC,2011-01-13 03:38:56,false,nawaat
