screen_name,user_type,text,created_at,originator,replied_to
SherryCVisage,normal_user,Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leadership moved to form a coa... http://bit.ly/dV3FXi,2011-01-15 16:51:26,true,n/a
JustRSS,normal_user,Reuters Top News : Tunisia plans unity government to quell violence,2011-01-15 16:51:26,false,n/a
newstravelfast,normal_user,World News: Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leadership moved t... http://bit.ly/i9EDP2,2011-01-15 16:51:26,false,n/a
Zoeycar,normal_user,Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leadership moved to form a coalition government to ...,2011-01-15 16:51:25,false,n/a
eurogemonline,normal_user,Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leadership moved to form a coa... http://bit.ly/dV3FXi,2011-01-15 16:51:25,false,n/a
twittfeed,normal_user,Reuters Top News Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leadership mo... http://bit.ly/gmmsg5,2011-01-15 16:51:25,false,n/a
Leah_Martin75,normal_user,Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leadership moved to form a coalition government to ...,2011-01-15 16:50:18,false,n/a
shravanp,normal_user,Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leadership moved to form a coalition governme...  #news,2011-01-15 16:50:18,false,n/a
marxpace,normal_user,HEADLINES: Tunisia plans unity government to quell violence : TUNIS (Reuters) - Tunisia's new lea... http://yhoo.it/foHNRS #uknews #news,2011-01-15 17:02:10,false,n/a
usherald,normal_user,"Tunisia plans unity government to quell violence 
    (Reuters): Reuters - Tunisia's new leadership moved to for... http://bit.ly/frnECx",2011-01-15 17:02:05,false,n/a
ricky_john2,normal_user,Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leadership… http://goo.gl/fb/YLWMj,2011-01-15 17:01:57,false,n/a
sgbreakingnews,normal_user,#int'l #news: Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leade... http://bit.ly/ej27zK #singapore,2011-01-15 17:15:31,false,n/a
s0ngt0day,normal_user,"20 Tunisia plans unity government to quell violence: By Tarek Amara and Christian Lowe
                TUNIS ... http://bit.ly/h1XFqm 20",2011-01-15 17:15:09,false,n/a
brainyloft,normal_user,Tunisia plans unity government to quell violence     (Reuters) http://nblo.gs/d3bBZ,2011-01-15 17:13:01,false,n/a
thenewsbeat,normal_user,http://freeto.org Tunisia plans unity government to quell violence \n    (Reuters)\n: Reuters - Tunisia's new le... http://bit.ly/i3H5kl,2011-01-15 17:12:37,false,n/a
BrkWTFN,normal_user,World News @ Yahoo! Tunisia plans unity government to quell violence \n    (Reuters)\n: Reuters - Tuni... http://bit.ly/i3H5kl *BrkWTFN*,2011-01-15 17:12:37,false,n/a
gabrielefarinel,normal_user,Tunisia plans unity government to quell violence \n    (Reuters)\n: Reuters - Tunisia's new leadership moved to ... http://bit.ly/i3H5kl,2011-01-15 17:12:37,false,n/a
newnewsnewnews,normal_user,Tunisia plans unity government to quell violence \n    (Reuters)\n: Reuters - Tunisia's new leadership moved to ... http://bit.ly/hQ6fvc,2011-01-15 17:12:37,false,n/a
moonheart85,normal_user,Tunisia plans unity government to quell violence \n    (Reuters)\n: Reuters - Tunisia's new leadersh... http://bit.ly/hFB7WX #yahoo news,2011-01-15 17:12:37,false,n/a
navetaghai,normal_user,Iwebslog.com- Tunisia plans unity government to quell violence \n    (Reuters)\n: Reuters - Tunisia's ... http://l.mytr.in/fJwMJB #World,2011-01-15 17:12:36,false,n/a
123mybusiness,normal_user,Tunisia plans unity government to quell violence \n    (Reuters)\n http://bit.ly/i3H5kl,2011-01-15 17:12:36,false,n/a
123mybusiness,normal_user,Tunisia plans unity government to quell violence \n    (Reuters)\n http://bit.ly/i3H5kl,2011-01-15 17:12:36,false,n/a
rainy2i,normal_user,[yahoo] Tunisia plans unity government to quell violence \n    (Reuters)\n: Reuters - Tunisia's new leadership m... http://bit.ly/i3H5kl,2011-01-15 17:12:36,false,n/a
TheWorldNews,normal_user,Tunisia plans unity government to quell violence (Reuters): Reuters - Tunisia's new leadership moved to form a c... http://bit.ly/hQ6fvc,2011-01-15 17:12:22,false,n/a
TheWorldNews,normal_user,Tunisia plans unity government to quell violence: TUNIS (Reuters) - Tunisia's new leadership moved to form a coa... http://bit.ly/eyaz7r,2011-01-15 17:12:22,false,n/a
