value,key
3,2011-01-14 12
3,2011-01-14 12
2,2011-01-14 13
1,2011-01-14 16
1,2011-01-15 02
1,2011-01-15 04
1,2011-01-15 06
1,2011-01-16 05
2,2011-01-16 06
1,2011-01-16 11
1,2011-01-17 04
1,2011-01-17 07
1,2011-01-17 11
2,2011-01-18 03
