value,key
27,2011-01-24 16-59
16,2011-01-24 17-00
9,2011-01-24 17-01
9,2011-01-24 17-02
11,2011-01-24 17-03
8,2011-01-24 17-04
15,2011-01-24 17-05
14,2011-01-24 17-06
12,2011-01-24 17-07
12,2011-01-24 17-08
13,2011-01-24 17-09
11,2011-01-24 17-10
11,2011-01-24 17-11
17,2011-01-24 17-12
10,2011-01-24 17-13
16,2011-01-24 17-14
13,2011-01-24 17-15
9,2011-01-24 17-16
8,2011-01-24 17-17
8,2011-01-24 17-18
16,2011-01-24 17-19
17,2011-01-24 17-20
4,2011-01-24 17-21
5,2011-01-24 17-22
8,2011-01-24 17-23
12,2011-01-24 17-24
11,2011-01-24 17-25
13,2011-01-24 17-26
8,2011-01-24 17-27
12,2011-01-24 17-28
11,2011-01-24 17-29
19,2011-01-24 17-30
7,2011-01-24 17-31
7,2011-01-24 17-32
11,2011-01-24 17-33
13,2011-01-24 17-34
8,2011-01-24 17-35
8,2011-01-24 17-36
11,2011-01-24 17-37
8,2011-01-24 17-38
11,2011-01-24 17-39
6,2011-01-24 17-40
12,2011-01-24 17-41
10,2011-01-24 17-42
12,2011-01-24 17-43
8,2011-01-24 17-44
11,2011-01-24 17-45
8,2011-01-24 17-46
10,2011-01-24 17-47
5,2011-01-24 17-48
10,2011-01-24 17-49
11,2011-01-24 17-50
4,2011-01-24 17-51
6,2011-01-24 17-52
3,2011-01-24 17-53
7,2011-01-24 17-54
9,2011-01-24 17-55
3,2011-01-24 17-56
4,2011-01-24 17-57
8,2011-01-24 17-58
7,2011-01-24 17-59
5,2011-01-24 18-00
6,2011-01-24 18-01
4,2011-01-24 18-02
8,2011-01-24 18-03
6,2011-01-24 18-04
8,2011-01-24 18-05
2,2011-01-24 18-06
4,2011-01-24 18-07
7,2011-01-24 18-08
6,2011-01-24 18-09
5,2011-01-24 18-10
10,2011-01-24 18-11
7,2011-01-24 18-12
6,2011-01-24 18-13
5,2011-01-24 18-14
9,2011-01-24 18-15
3,2011-01-24 18-16
8,2011-01-24 18-17
3,2011-01-24 18-18
4,2011-01-24 18-19
8,2011-01-24 18-20
7,2011-01-24 18-21
5,2011-01-24 18-22
9,2011-01-24 18-23
4,2011-01-24 18-24
7,2011-01-24 18-25
7,2011-01-24 18-26
13,2011-01-24 18-27
4,2011-01-24 18-28
6,2011-01-24 18-29
5,2011-01-24 18-30
5,2011-01-24 18-31
8,2011-01-24 18-32
12,2011-01-24 18-33
5,2011-01-24 18-34
3,2011-01-24 18-35
2,2011-01-24 18-36
2,2011-01-24 18-37
3,2011-01-24 18-38
3,2011-01-24 18-39
5,2011-01-24 18-40
5,2011-01-24 18-41
5,2011-01-24 18-42
10,2011-01-24 18-43
6,2011-01-24 18-44
3,2011-01-24 18-45
7,2011-01-24 18-46
5,2011-01-24 18-47
3,2011-01-24 18-48
9,2011-01-24 18-49
6,2011-01-24 18-50
9,2011-01-24 18-51
2,2011-01-24 18-52
13,2011-01-24 18-53
6,2011-01-24 18-54
6,2011-01-24 18-55
6,2011-01-24 18-56
2,2011-01-24 18-57
11,2011-01-24 18-58
9,2011-01-24 18-59
7,2011-01-24 19-00
10,2011-01-24 19-01
10,2011-01-24 19-02
10,2011-01-24 19-03
7,2011-01-24 19-04
9,2011-01-24 19-05
4,2011-01-24 19-06
5,2011-01-24 19-07
10,2011-01-24 19-08
9,2011-01-24 19-09
10,2011-01-24 19-10
11,2011-01-24 19-11
11,2011-01-24 19-12
4,2011-01-24 19-13
8,2011-01-24 19-14
6,2011-01-24 19-15
8,2011-01-24 19-16
4,2011-01-24 19-17
8,2011-01-24 19-18
9,2011-01-24 19-19
9,2011-01-24 19-20
8,2011-01-24 19-21
5,2011-01-24 19-22
10,2011-01-24 19-23
4,2011-01-24 19-24
7,2011-01-24 19-25
5,2011-01-24 19-26
4,2011-01-24 19-27
4,2011-01-24 19-28
10,2011-01-24 19-29
6,2011-01-24 19-30
7,2011-01-24 19-31
9,2011-01-24 19-32
5,2011-01-24 19-33
4,2011-01-24 19-34
8,2011-01-24 19-35
10,2011-01-24 19-36
5,2011-01-24 19-37
10,2011-01-24 19-38
11,2011-01-24 19-39
11,2011-01-24 19-40
7,2011-01-24 19-41
7,2011-01-24 19-42
6,2011-01-24 19-43
3,2011-01-24 19-44
9,2011-01-24 19-45
5,2011-01-24 19-46
6,2011-01-24 19-47
8,2011-01-24 19-48
3,2011-01-24 19-49
4,2011-01-24 19-50
8,2011-01-24 19-51
3,2011-01-24 19-52
5,2011-01-24 19-53
9,2011-01-24 19-54
9,2011-01-24 19-55
4,2011-01-24 19-56
8,2011-01-24 19-57
5,2011-01-24 19-58
5,2011-01-24 19-59
10,2011-01-24 20-00
8,2011-01-24 20-01
7,2011-01-24 20-02
8,2011-01-24 20-03
6,2011-01-24 20-04
2,2011-01-24 20-05
7,2011-01-24 20-06
4,2011-01-24 20-07
6,2011-01-24 20-08
5,2011-01-24 20-09
1,2011-01-24 20-10
3,2011-01-24 20-11
13,2011-01-24 20-12
10,2011-01-24 20-13
7,2011-01-24 20-14
5,2011-01-24 20-15
8,2011-01-24 20-16
8,2011-01-24 20-17
6,2011-01-24 20-18
8,2011-01-24 20-19
7,2011-01-24 20-20
11,2011-01-24 20-21
5,2011-01-24 20-22
9,2011-01-24 20-23
21,2011-01-24 20-24
7,2011-01-24 20-25
7,2011-01-24 20-26
7,2011-01-24 20-27
25,2011-01-24 20-28
10,2011-01-24 20-29
35,2011-01-24 20-30
15,2011-01-24 20-31
8,2011-01-24 20-32
23,2011-01-24 20-33
