value,key
16,2011-01-12 09-21
15,2011-01-12 09-22
28,2011-01-12 09-23
25,2011-01-12 09-24
18,2011-01-12 09-25
22,2011-01-12 09-26
17,2011-01-12 09-27
28,2011-01-12 09-28
16,2011-01-12 09-29
16,2011-01-12 09-30
14,2011-01-12 09-31
16,2011-01-12 09-32
22,2011-01-12 09-33
23,2011-01-12 09-34
12,2011-01-12 09-35
22,2011-01-12 09-36
23,2011-01-12 09-37
21,2011-01-12 09-38
25,2011-01-12 09-39
12,2011-01-12 09-40
23,2011-01-12 09-41
22,2011-01-12 09-42
13,2011-01-12 09-43
30,2011-01-12 09-44
13,2011-01-12 09-45
25,2011-01-12 09-46
21,2011-01-12 09-47
23,2011-01-12 09-48
18,2011-01-12 09-49
18,2011-01-12 09-50
18,2011-01-12 09-51
18,2011-01-12 09-52
21,2011-01-12 09-53
26,2011-01-12 09-54
16,2011-01-12 09-55
21,2011-01-12 09-56
17,2011-01-12 09-57
16,2011-01-12 09-58
14,2011-01-12 09-59
21,2011-01-12 10-00
14,2011-01-12 10-01
12,2011-01-12 10-02
22,2011-01-12 10-03
17,2011-01-12 10-04
21,2011-01-12 10-05
30,2011-01-12 10-06
13,2011-01-12 10-07
17,2011-01-12 10-08
19,2011-01-12 10-09
16,2011-01-12 10-10
19,2011-01-12 10-11
21,2011-01-12 10-12
11,2011-01-12 10-13
26,2011-01-12 10-14
20,2011-01-12 10-15
16,2011-01-12 10-16
16,2011-01-12 10-17
15,2011-01-12 10-18
26,2011-01-12 10-19
17,2011-01-12 10-20
23,2011-01-12 10-21
26,2011-01-12 10-22
18,2011-01-12 10-23
18,2011-01-12 10-24
15,2011-01-12 10-25
16,2011-01-12 10-26
16,2011-01-12 10-27
13,2011-01-12 10-28
19,2011-01-12 10-29
18,2011-01-12 10-30
22,2011-01-12 10-31
21,2011-01-12 10-32
23,2011-01-12 10-33
15,2011-01-12 10-34
18,2011-01-12 10-35
19,2011-01-12 10-36
19,2011-01-12 10-37
18,2011-01-12 10-38
12,2011-01-12 10-39
10,2011-01-12 10-40
13,2011-01-12 10-41
16,2011-01-12 10-42
17,2011-01-12 10-43
12,2011-01-12 10-44
14,2011-01-12 10-45
17,2011-01-12 10-46
13,2011-01-12 10-47
23,2011-01-12 10-48
12,2011-01-12 10-49
24,2011-01-12 10-50
13,2011-01-12 10-51
18,2011-01-12 10-52
16,2011-01-12 10-53
15,2011-01-12 10-54
18,2011-01-12 10-55
25,2011-01-12 10-56
23,2011-01-12 10-57
18,2011-01-12 10-58
17,2011-01-12 10-59
17,2011-01-12 11-00
29,2011-01-12 11-01
22,2011-01-12 11-02
21,2011-01-12 11-03
11,2011-01-12 11-04
17,2011-01-12 11-05
23,2011-01-12 11-06
26,2011-01-12 11-07
26,2011-01-12 11-08
17,2011-01-12 11-09
15,2011-01-12 11-10
20,2011-01-12 11-11
21,2011-01-12 11-12
16,2011-01-12 11-13
17,2011-01-12 11-14
23,2011-01-12 11-15
22,2011-01-12 11-16
14,2011-01-12 11-17
17,2011-01-12 11-18
14,2011-01-12 11-19
16,2011-01-12 11-20
23,2011-01-12 11-21
19,2011-01-12 11-22
21,2011-01-12 11-23
16,2011-01-12 11-24
11,2011-01-12 11-25
22,2011-01-12 11-26
20,2011-01-12 11-27
30,2011-01-12 11-28
17,2011-01-12 11-29
29,2011-01-12 11-30
16,2011-01-12 11-31
21,2011-01-12 11-32
26,2011-01-12 11-33
12,2011-01-12 11-34
22,2011-01-12 11-35
13,2011-01-12 11-36
21,2011-01-12 11-37
22,2011-01-12 11-38
22,2011-01-12 11-39
12,2011-01-12 11-40
14,2011-01-12 11-41
15,2011-01-12 11-42
20,2011-01-12 11-43
14,2011-01-12 11-44
21,2011-01-12 11-45
18,2011-01-12 11-46
16,2011-01-12 11-47
23,2011-01-12 11-48
11,2011-01-12 11-49
17,2011-01-12 11-50
14,2011-01-12 11-51
9,2011-01-12 11-52
11,2011-01-12 11-53
14,2011-01-12 11-54
28,2011-01-12 11-55
24,2011-01-12 11-56
11,2011-01-12 11-57
19,2011-01-12 11-58
19,2011-01-12 11-59
20,2011-01-12 12-00
19,2011-01-12 12-01
17,2011-01-12 12-02
14,2011-01-12 12-03
17,2011-01-12 12-04
23,2011-01-12 12-05
18,2011-01-12 12-06
21,2011-01-12 12-07
20,2011-01-12 12-08
20,2011-01-12 12-09
19,2011-01-12 12-10
22,2011-01-12 12-11
13,2011-01-12 12-12
19,2011-01-12 12-13
6,2011-01-12 12-14
19,2011-01-12 12-15
33,2011-01-12 12-16
21,2011-01-12 12-17
13,2011-01-12 12-18
19,2011-01-12 12-19
24,2011-01-12 12-20
17,2011-01-12 12-21
21,2011-01-12 12-22
21,2011-01-12 12-23
16,2011-01-12 12-24
23,2011-01-12 12-25
18,2011-01-12 12-26
17,2011-01-12 12-27
17,2011-01-12 12-28
28,2011-01-12 12-29
23,2011-01-12 12-30
17,2011-01-12 12-31
19,2011-01-12 12-32
21,2011-01-12 12-33
9,2011-01-12 12-34
21,2011-01-12 12-35
19,2011-01-12 12-36
16,2011-01-12 12-37
20,2011-01-12 12-38
19,2011-01-12 12-39
23,2011-01-12 12-40
14,2011-01-12 12-41
13,2011-01-12 12-42
13,2011-01-12 12-43
18,2011-01-12 12-44
8,2011-01-12 12-45
13,2011-01-12 12-46
21,2011-01-12 12-47
19,2011-01-12 12-48
16,2011-01-12 12-49
20,2011-01-12 12-50
19,2011-01-12 12-51
19,2011-01-12 12-52
31,2011-01-12 12-53
14,2011-01-12 12-54
18,2011-01-12 12-55
23,2011-01-12 12-56
21,2011-01-12 12-57
19,2011-01-12 12-58
26,2011-01-12 12-59
17,2011-01-12 13-00
16,2011-01-12 13-01
18,2011-01-12 13-02
20,2011-01-12 13-03
18,2011-01-12 13-04
12,2011-01-12 13-05
17,2011-01-12 13-06
34,2011-01-12 13-07
20,2011-01-12 13-08
18,2011-01-12 13-09
25,2011-01-12 13-10
12,2011-01-12 13-11
24,2011-01-12 13-12
21,2011-01-12 13-13
21,2011-01-12 13-14
23,2011-01-12 13-15
22,2011-01-12 13-16
18,2011-01-12 13-17
21,2011-01-12 13-18
12,2011-01-12 13-19
12,2011-01-12 13-20
19,2011-01-12 13-21
23,2011-01-12 13-22
25,2011-01-12 13-23
26,2011-01-12 13-24
21,2011-01-12 13-25
20,2011-01-12 13-26
17,2011-01-12 13-27
14,2011-01-12 13-28
12,2011-01-12 13-29
13,2011-01-12 13-30
16,2011-01-12 13-31
27,2011-01-12 13-32
30,2011-01-12 13-33
14,2011-01-12 13-34
15,2011-01-12 13-35
18,2011-01-12 13-36
27,2011-01-12 13-37
20,2011-01-12 13-38
20,2011-01-12 13-39
13,2011-01-12 13-40
27,2011-01-12 13-41
25,2011-01-12 13-42
14,2011-01-12 13-43
21,2011-01-12 13-44
1,2011-01-12 13-45
18,2011-01-12 13-46
27,2011-01-12 13-47
35,2011-01-12 13-48
23,2011-01-12 13-49
27,2011-01-12 13-50
16,2011-01-12 13-51
16,2011-01-12 13-52
14,2011-01-12 13-53
14,2011-01-12 13-54
18,2011-01-12 13-55
16,2011-01-12 13-56
23,2011-01-12 13-57
24,2011-01-12 13-58
16,2011-01-12 13-59
19,2011-01-12 14-00
24,2011-01-12 14-01
