value,key
1,2011-01-24 15
1,2011-01-24 15
1,2011-01-25 13
1,2011-01-25 16
1,2011-01-26 01
1,2011-01-26 03
2,2011-01-27 16
1,2011-01-27 19
1,2011-01-28 02
1,2011-01-28 04
1,2011-01-28 05
1,2011-01-28 06
4,2011-01-28 07
4,2011-01-28 08
6,2011-01-28 09
1,2011-01-28 10
4,2011-01-28 11
4,2011-01-28 12
1,2011-01-28 13
3,2011-01-28 14
1,2011-01-28 15
