value,key
1,2011-01-8
1,2011-01-8
1,2011-01-9
1,2011-01-10
25,2011-01-11
13533,2011-01-12
20336,2011-01-13
39022,2011-01-14
31063,2011-01-15
24032,2011-01-16
20606,2011-01-17
15796,2011-01-18
4247,2011-01-19
