date,thread_id,num_posts
2011-01-24,38,158
2011-01-25,3,158
2011-01-24,72,346
2011-01-25,47,346
2011-01-24,1,350
2011-01-26,37,350
2011-01-25,84,351
2011-01-26,81,351
2011-01-27,3,351
2011-01-28,1,351
2011-01-26,23,353
2011-01-27,1200,353
2011-01-28,1016,353
2011-01-29,317,353
2011-01-30,18,353
2011-01-27,45,361
2011-01-28,13,361
2011-01-29,115,363
2011-01-30,2,363
2011-01-25,87,373
2011-01-26,1,373
2011-01-26,337,376
2011-01-27,23,376
2011-01-28,36,376
2011-01-30,1,376
2011-01-26,28,384
2011-01-27,7,384
2011-01-26,44,385
2011-01-28,1,385
2011-01-25,106,388
2011-01-26,99,388
2011-01-25,52,393
2011-01-25,39,401
2011-01-27,75,412
2011-01-28,26,412
2011-01-29,3,412
2011-01-25,412,417
2011-01-26,300,417
2011-01-27,133,417
2011-01-28,4,417
2011-01-26,35,421
2011-01-27,36,427
2011-01-28,3,427
2011-01-29,57,429
2011-01-30,2,429
2011-01-26,235,447
2011-01-27,73,447
2011-01-28,1,447
2011-01-25,2,453
2011-01-26,4,453
2011-01-27,41,453
2011-01-28,1,453
2011-01-26,37,455
2011-01-27,4,455
2011-01-25,48,463
2011-01-29,108,464
2011-01-30,16,464
2011-01-26,28,478
2011-01-27,19,478
2011-01-27,113,488
2011-01-28,14,488
2011-01-30,49,489
2011-01-26,54,506
2011-01-27,27,506
2011-01-29,58,514
2011-01-30,4,514
2011-01-28,78,515
2011-01-25,87,528
2011-01-26,10,528
2011-01-26,7,532
2011-01-29,73,532
2011-01-30,1,532
2011-01-26,58,552
2011-01-27,40,552
2011-01-26,43,553
2011-01-25,63,578
2011-01-26,16,578
2011-01-27,1,578
2011-01-29,1,578
2011-01-29,26,580
2011-01-30,8,580
2011-01-26,69,582
2011-01-25,30,601
2011-01-26,21,601
2011-01-30,1,601
2011-01-26,32,611
2011-01-27,3,611
2011-01-27,162,615
2011-01-28,14,615
2011-01-26,61,619
2011-01-27,15,619
2011-01-26,30,625
2011-01-25,30,626
2011-01-26,12,626
2011-01-26,234,636
2011-01-27,1,636
2011-01-25,26,640
2011-01-26,4,640
2011-01-25,103,653
2011-01-26,197,653
2011-01-27,10,653
2011-01-27,28,662
2011-01-28,8,662
2011-01-24,150,668
2011-01-25,4,668
2011-01-25,65,669
2011-01-26,4,669
2011-01-26,29,682
2011-01-27,12,682
2011-01-24,58,684
2011-01-25,4,684
2011-01-29,48,691
2011-01-26,63,696
2011-01-27,1,696
2011-01-27,32,717
2011-01-28,4,717
2011-01-27,45,724
2011-01-26,99,725
2011-01-25,67,741
2011-01-26,30,741
2011-01-27,1,741
2011-01-25,229,749
2011-01-26,38,749
2011-01-27,13,749
2011-01-28,3,749
2011-01-28,59,755
2011-01-29,2,755
2011-01-30,1,755
2011-01-28,14,760
2011-01-29,19,760
2011-01-28,43,763
2011-01-26,47,787
2011-01-27,3,787
2011-01-25,29,794
2011-01-26,23,794
2011-01-25,40,817
2011-01-30,32,826
2011-01-29,50,827
2011-01-30,1,827
2011-01-25,30,831
2011-01-26,2,831
2011-01-26,297,855
2011-01-27,27,855
2011-01-27,40,859
2011-01-26,44,863
2011-01-27,44,868
2011-01-25,46,882
2011-01-29,26,888
2011-01-30,8,888
2011-01-28,29,908
2011-01-29,13,908
2011-01-29,160,913
2011-01-30,5,913
2011-01-27,92,926
2011-01-28,16,926
2011-01-29,1,926
2011-01-25,26,929
2011-01-26,37,929
2011-01-29,37,938
2011-01-26,80,942
2011-01-27,23,942
2011-01-28,1,942
2011-01-25,43,949
2011-01-26,3,949
2011-01-29,34,984
2011-01-27,39,991
2011-01-25,53,1014
2011-01-26,17,1014
2011-01-27,1,1014
2011-01-29,45,1019
2011-01-30,44,1024
2011-01-25,62,1028
2011-01-26,12,1028
2011-01-25,182,1038
2011-01-26,1,1038
2011-01-27,2,1038
2011-01-25,62,1061
2011-01-26,8,1061
2011-01-25,129,1062
2011-01-26,34,1062
2011-01-29,46,1071
2011-01-24,175,1076
2011-01-25,22,1076
2011-01-28,82,1085
2011-01-29,7,1085
2011-01-28,43,1089
2011-01-25,41,1113
2011-01-25,63,1123
2011-01-26,7,1123
2011-01-27,1,1123
2011-01-28,31,1131
2011-01-27,47,1137
2011-01-28,4,1137
2011-01-25,390,1139
2011-01-26,52,1139
2011-01-27,66,1144
2011-01-28,8,1144
2011-01-29,1,1144
2011-01-27,103,1155
2011-01-28,337,1155
2011-01-29,72,1155
2011-01-30,6,1155
2011-01-27,34,1161
2011-01-25,105,1171
2011-01-26,30,1171
2011-01-27,12,1171
2011-01-24,138,1180
2011-01-25,181,1180
2011-01-26,1,1180
2011-01-27,13,1180
2011-01-28,9,1180
2011-01-27,26,1195
2011-01-28,4,1195
2011-01-29,5,1195
2011-01-30,2,1195
2011-01-25,31,1212
2011-01-26,1,1212
2011-01-26,325,1218
2011-01-27,109,1218
2011-01-28,2,1218
2011-01-28,57,1229
2011-01-25,94,1244
2011-01-26,1,1244
2011-01-28,1,1244
2011-01-25,33,1247
2011-01-25,72,1255
2011-01-25,46,1282
2011-01-26,11,1282
2011-01-27,367,1305
2011-01-28,55,1305
2011-01-28,57,1318
2011-01-29,11,1318
2011-01-30,2,1318
2011-01-28,32,1331
2011-01-29,29,1362
2011-01-30,8,1362
2011-01-26,32,1364
2011-01-28,2,1364
2011-01-26,13,1373
2011-01-27,18,1373
2011-01-27,28,1374
2011-01-28,9,1374
2011-01-26,56,1382
2011-01-27,3,1382
2011-01-26,66,1407
2011-01-27,12,1407
2011-01-25,35,1415
2011-01-26,1,1415
