thread_id,num_posts
353,2574
417,849
1155,518
1139,442
1218,436
1305,422
376,397
1180,342
855,324
653,310
447,309
1488,294
1738,287
749,283
1772,259
1777,240
636,235
2546,219
388,205
1076,197
4527,196
2031,193
1038,185
2458,178
615,176
1565,172
351,169
913,165
1062,163
9209,157
668,154
53451,153
3229,150
1171,147
2040,143
5262,138
1913,137
5921,137
2300,136
2250,133
6064,131
2937,130
2911,128
488,127
1787,127
6921,127
464,124
3056,121
3663,121
4634,120
3277,119
346,119
1791,118
363,117
3496,115
10031,113
3444,112
5970,112
926,109
2231,108
1788,108
412,104
942,104
1909,104
725,99
1662,99
552,98
741,98
2992,97
528,97
1244,96
6590,95
2536,94
2100,93
7326,90
2147,90
4597,90
4259,90
5772,89
1085,89
2204,88
373,88
6222,88
2476,86
2249,86
9797,85
2361,84
1776,82
578,81
506,81
532,81
2680,80
1407,78
2064,78
515,78
4314,77
3470,77
5678,76
2570,76
54141,76
619,76
1633,75
1144,75
2156,75
1028,74
3839,73
1255,72
1454,72
5550,72
8964,72
3341,71
1014,71
1123,71
5888,71
4361,70
1061,70
1318,70
5429,70
582,69
669,69
3653,69
2530,67
5881,67
64232,66
4929,65
696,64
929,63
8629,63
2203,63
755,62
514,62
684,62
3920,62
3322,61
3932,60
2832,60
1382,59
2359,59
5797,59
2643,59
429,59
2184,59
15616,59
5695,58
2774,58
3997,58
361,58
7128,58
2676,58
6579,57
5451,57
1282,57
1229,57
2224,56
6849,56
2888,56
12055,55
7962,55
3224,55
2150,54
7478,54
37409,53
7109,53
3895,53
5247,53
393,52
3735,52
1534,52
601,52
5243,52
794,52
2725,52
3410,52
1137,51
3710,51
827,51
1941,51
16715,51
1452,51
2628,51
2417,51
2896,51
1636,50
2233,50
5755,50
9695,50
2364,50
15995,50
5135,50
3568,50
7175,50
787,50
1483,50
2710,50
6356,50
3062,49
2490,49
2052,49
2370,49
489,49
3845,49
5855,49
6279,49
1615,49
6523,49
5053,48
463,48
9682,48
4191,48
691,48
3907,48
2461,48
8906,48
453,48
9064,47
2763,47
8467,47
478,47
14336,47
1581,47
2881,47
2170,47
4274,47
4796,46
2115,46
1071,46
949,46
6493,46
12421,46
882,46
2438,46
1746,46
3027,46
4261,46
7595,46
11581,46
4296,46
6561,45
2310,45
724,45
7712,45
5459,45
3080,45
3001,45
1019,45
1760,45
385,45
2467,45
3063,44
6587,44
1647,44
2529,44
6698,44
863,44
8037,44
868,44
14792,44
1024,44
5631,44
4789,43
9537,43
553,43
5096,43
2805,43
6423,43
9766,43
4930,43
5228,43
763,43
1089,43
3378,43
1859,43
9431,43
20002,43
3231,43
15718,42
2906,42
13474,42
3950,42
15893,42
2593,42
5736,42
4878,42
6636,42
1759,42
908,42
7661,42
626,42
1628,42
455,41
158,41
1504,41
7454,41
682,41
2161,41
1113,41
1487,41
13681,40
2621,40
4893,40
859,40
7084,40
4129,40
12363,40
14430,40
3358,40
1811,40
2893,40
817,40
8234,40
7696,39
10523,39
5083,39
401,39
2820,39
6122,39
12306,39
1709,39
10915,39
427,39
991,39
2275,39
7295,39
3061,38
3294,38
350,38
7432,38
9149,38
4006,38
7076,38
3810,38
4099,38
1566,38
3891,38
5563,38
6499,38
7189,38
4700,38
1374,37
9465,37
1502,37
5450,37
6418,37
1520,37
938,37
2492,37
3071,37
6425,37
9367,37
2261,37
1195,37
1362,37
2074,37
8881,37
4991,37
8187,37
2085,37
9434,37
6955,37
717,36
3295,36
8556,36
1415,36
662,36
1669,36
2826,36
5200,36
3004,36
5832,36
17974,36
3215,36
2072,36
3574,36
2269,36
15053,36
5593,36
3687,35
1775,35
3445,35
7383,35
7754,35
10722,35
15992,35
2146,35
7827,35
10748,35
5464,35
2396,35
6130,35
8758,35
421,35
611,35
3023,35
384,35
6299,35
13285,35
4995,35
2566,34
12008,34
9114,34
24019,34
6422,34
12073,34
580,34
8603,34
4524,34
1161,34
10801,34
984,34
6426,34
1579,34
6212,34
4954,34
9993,34
888,34
1583,34
3379,34
19602,34
1364,34
1901,34
10124,34
7196,34
11753,34
13467,33
2751,33
2101,33
1247,33
3790,33
5543,33
760,33
8806,33
8838,33
19598,33
12462,33
2558,33
826,32
6381,32
7012,32
831,32
4408,32
1429,32
7860,32
10800,32
3529,32
3535,32
2259,32
1331,32
7523,32
2545,32
4955,32
1212,32
11284,32
6515,32
22095,32
5963,31
6991,31
8355,31
10632,31
4834,31
2596,31
14044,31
3308,31
7451,31
12137,31
33530,31
2062,31
17600,31
9257,31
6795,31
9820,31
2544,31
1476,31
6814,31
8066,31
7583,31
9401,31
3041,31
4684,31
1373,31
1131,31
23054,30
640,30
7052,30
27210,30
5115,30
6112,30
14183,30
5481,30
9227,30
3093,30
4595,30
3101,30
11117,30
12443,30
55826,30
8133,30
15149,30
625,30
3393,30
10186,30
