relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,friends_count,relevant_total,irrelevant_percent_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
n/a,n/a,0.96913097843076,2010-01-04 06:09:28,mfatta7,n/a,n/a,427,n/a,n/a,0.96913097843076,n/a,"",17473,n/a,"",3458,0.96913097843076
n/a,n/a,0.941492132958216,2007-01-05 00:37:53,gr33ndata,n/a,n/a,883,n/a,n/a,0.941492132958216,n/a,"",15924,n/a,"",2007,0.941492132958216
0.342857142857143,45,0.81976138376576,2010-05-18 09:59:41,AhmedDarweesh,1.0,0.0,1027,35,0.311111111111111,0.819787433572992,1.0,14,2416,0.0,0,685,0.819787433572992
1.0,149,0.853678232781077,2008-11-03 15:59:01,muiz,1.0,0.0,38,2,0.201342281879195,0.853678232781077,1.0,30,14078,0.0,0,864,0.853678232781077
0.9375,154,0.934745232885277,2009-01-08 08:34:38,litfreak,1.0,0.0,444,16,0.694805194805195,0.934745232885277,1.0,107,10705,0.0,0,1824,0.934745232885277
n/a,n/a,0.963868917370011,2009-07-11 18:40:51,mosaaberizing,n/a,n/a,183,n/a,n/a,0.963868917370011,n/a,"",4487,n/a,"",3020,0.963868917370011
n/a,n/a,n/a,n/a,MohammadYasser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
0.0,5,0.962331978743357,2010-05-21 05:05:23,NahlahAyed,1.0,0.0,16,1,0.6,0.962331978743357,1.0,3,213,0.0,0,2907,0.962331978743357
n/a,n/a,0.655725747629468,2010-01-23 20:50:22,mariamali7,n/a,n/a,102,n/a,n/a,0.655621548400542,n/a,"",1243,n/a,"",262,0.655621548400542
n/a,n/a,0.969730123997082,2006-12-27 23:54:07,Lastoadri,n/a,n/a,441,n/a,n/a,0.969730123997082,n/a,"",22370,n/a,"",3509,0.969730123997082
0.837837837837838,217,0.809784307596124,2009-01-03 01:40:06,Organica_,1.0,0.0,435,37,0.622119815668203,0.809784307596124,1.0,135,13278,0.0,0,640,0.809784307596124
0.482758620689655,59,0.920261540064603,2009-08-19 07:58:18,Beirutiyat,1.0,0.0,1839,29,0.322033898305085,0.920261540064603,1.0,19,6189,0.0,0,1525,0.920261540064603
n/a,n/a,0.968792330936751,2009-02-19 03:57:38,TravellerW,n/a,n/a,643,n/a,n/a,0.968792330936751,n/a,"",16890,n/a,"",3411,0.968792330936751
1.0,211,0.900255288110868,2009-05-19 19:27:53,parvezsharma,1.0,0.0,445,33,0.748815165876777,0.900281337918099,1.0,158,1437,0.0,0,1264,0.900281337918099
n/a,n/a,0.879597790976347,2007-08-16 09:42:38,Ayyachomsky,n/a,n/a,312,n/a,n/a,0.879597790976347,n/a,"",5635,n/a,"",1057,0.879597790976347
n/a,17,0.983119724914036,2009-03-13 22:03:49,Gsquare86,n/a,0.0,478,n/a,1.0,0.983119724914036,1.0,17,9350,n/a,0,6097,0.983119724914036
1.0,31,0.843961654683755,2010-08-13 23:20:00,ShawkattRaghib,1.0,0.0,586,2,0.516129032258065,0.843961654683755,1.0,16,1100,0.0,0,804,0.843961654683755
n/a,n/a,0.859904136709388,2010-03-15 08:27:31,waelabdelfattah,n/a,n/a,50,n/a,n/a,0.859878086902157,n/a,"",731,n/a,"",901,0.859878086902157
