relevant_percent_user_gets_retweeted,followers_percentile,relevant_user_retweets,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_total,friends_count,irrelevant_percent_user_gets_retweeted,irrelevant_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_retweets,statuses_count,relevant_percent_user_retweets,irrelevant_total,followers_count,relevant_user_gets_retweeted,statuses_percentile
n/a,n/a,"",n/a,Linaattalah,n/a,0.0,n/a,n/a,0.0,0,n/a,1.0,0,n/a,n/a,1,n/a,"",n/a
0.0,0.971051944661968,0,2010-01-04 06:09:28,mfatta7,1.0,0.0,3,427,0.704081632653061,69,0.971051944661968,1.0,0,17465,0.0,98,3386,0,0.971051944661968
n/a,0.942521534847298,"",2007-01-05 00:37:53,gr33ndata,n/a,0.0,n/a,882,0.5,1,0.942521534847298,1.0,0,15916,n/a,2,1962,"",0.942521534847298
1.0,0.821665361524406,0,2010-05-18 09:59:41,AhmedDarweesh,1.0,0.0,1,1021,0.177777777777778,8,0.821665361524406,1.0,0,2381,0.0,45,680,1,0.821665361524406
n/a,0.121273818846254,"",2008-11-03 15:59:01,muiz,n/a,0.0,n/a,0,0.21875,7,0.0500913599582354,1.0,0,13475,n/a,32,0,"",0.0500913599582354
n/a,0.931271208561733,"",2009-01-08 08:34:38,litfreak,n/a,0.0,n/a,438,0.130434782608696,9,0.931271208561733,1.0,0,10567,n/a,69,1670,"",0.931271208561733
n/a,0.931427825632994,"",2009-07-11 18:40:51,mosaaberizing,n/a,0.0,n/a,181,0.361111111111111,13,0.931427825632994,1.0,0,4286,n/a,36,1677,"",0.931427825632994
n/a,n/a,"",n/a,MohammadYasser,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,"",n/a
n/a,n/a,"",n/a,NahlahAyed,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,"",n/a
n/a,0.184103367267032,"",2010-01-23 20:50:22,mariamali7,n/a,0.0,n/a,0,0.153846153846154,2,0.133072304881232,1.0,0,397,n/a,13,0,"",0.133072304881232
n/a,0.971260767423649,"",2006-12-27 23:54:07,Lastoadri,n/a,0.0,n/a,439,0.333333333333333,13,0.971260767423649,1.0,0,22291,n/a,39,3419,"",0.971260767423649
n/a,0.804620203602193,"",2009-01-03 01:40:06,Organica_,n/a,0.0,n/a,418,0.0666666666666667,3,0.804646306447403,1.0,0,13148,n/a,45,609,"",0.804646306447403
1.0,0.921926389976507,0,2009-08-19 07:58:18,Beirutiyat,1.0,0.0,2,1816,0.351851851851852,19,0.921926389976507,1.0,0,6124,0.0,54,1511,2,0.921926389976507
n/a,0.957452362307492,"",2009-02-19 03:57:38,TravellerW,n/a,0.0,n/a,642,0.0,0,0.957452362307492,1.0,0,16832,n/a,22,2502,"",0.957452362307492
n/a,0.899791177238319,"",2009-05-19 19:27:53,parvezsharma,n/a,n/a,n/a,414,n/a,"",0.899791177238319,n/a,"",1300,n/a,n/a,1233,"",0.899791177238319
n/a,0.878465152701644,"",2007-08-16 09:42:38,Ayyachomsky,n/a,0.0,n/a,312,0.214285714285714,3,0.878465152701644,1.0,0,5624,n/a,14,1024,"",0.878465152701644
0.6,0.98371182458888,0,2009-03-13 22:03:49,Gsquare86,1.0,0.0,5,478,0.451612903225806,42,0.98371182458888,1.0,0,9327,0.0,93,5636,3,0.98371182458888
n/a,0.829574523623075,"",2010-08-13 23:20:00,ShawkattRaghib,n/a,n/a,n/a,589,n/a,"",0.829574523623075,n/a,"",1082,n/a,n/a,716,"",0.829574523623075
n/a,n/a,"",n/a,waelabdelfattah,n/a,0.0,n/a,n/a,0.333333333333333,4,n/a,1.0,0,n/a,n/a,12,n/a,"",n/a
n/a,0.879222135212738,"",2009-02-07 13:59:57,Tom_El_Rumi,n/a,0.0,n/a,300,1.0,1,0.879222135212738,1.0,0,3904,n/a,1,1030,"",0.879222135212738
0.0,0.92659879926912,0,2010-06-16 09:03:04,RHelmii,1.0,0.0,1,82,0.277777777777778,5,0.92662490211433,1.0,0,3426,0.0,18,1590,0,0.92662490211433
n/a,0.961419994779431,"",2011-01-25 01:02:44,Alshaheeed,n/a,n/a,n/a,5,n/a,"",0.961419994779431,n/a,"",341,n/a,n/a,2699,"",0.961419994779431
n/a,0.957739493604803,"",2008-12-22 14:01:49,occupiedcairo,n/a,0.0,n/a,457,1.0,1,0.957739493604803,1.0,0,1136,n/a,1,2517,"",0.957739493604803
1.0,n/a,0,n/a,Asadx,1.0,0.0,1,n/a,0.6,3,n/a,1.0,0,n/a,0.0,5,n/a,1,n/a
n/a,0.931297311406943,"",2009-02-10 18:06:41,Selnadeem,n/a,0.0,n/a,387,0.35,7,0.931297311406943,1.0,0,7852,n/a,20,1672,"",0.931297311406943
n/a,0.908692247454973,"",2009-03-04 12:48:56,Wa7damasrya,n/a,n/a,n/a,172,n/a,"",0.908692247454973,n/a,"",765,n/a,n/a,1335,"",0.908692247454973
n/a,0.943878882798225,"",2009-04-27 09:33:35,matthewteller,n/a,0.0,n/a,703,0.333333333333333,2,0.943878882798225,1.0,0,8016,n/a,6,1998,"",0.943878882798225
n/a,0.989062907856956,"",2008-10-16 01:25:33,avinunu,n/a,0.0,n/a,632,0.705882352941177,12,0.989062907856956,1.0,0,31093,n/a,17,7806,"",0.989062907856956
n/a,0.967919603236753,"",2007-07-25 08:40:42,lisang,n/a,0.0,n/a,671,0.0714285714285714,2,0.967919603236753,1.0,0,14514,n/a,28,3132,"",0.967919603236753
n/a,n/a,"",n/a,anjucomet,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,"",n/a
n/a,0.927538501696685,"",2009-12-04 20:44:38,aGharbeia,n/a,0.0,n/a,206,0.357142857142857,5,0.927538501696685,1.0,0,2689,n/a,14,1605,"",0.927538501696685
n/a,0.888619159488384,"",2010-06-13 03:43:06,Firas_Atraqchi,n/a,0.0,n/a,167,0.307692307692308,4,0.888619159488384,1.0,0,3974,n/a,13,1113,"",0.888619159488384
n/a,0.965544244322631,"",2008-06-22 09:59:00,gamaleid,n/a,0.0,n/a,854,0.727272727272727,8,0.965544244322631,1.0,0,5951,n/a,11,2966,"",0.965544244322631
0.818181818181818,0.913129731140694,0,2007-12-05 14:04:11,wnawara,1.0,0.0,11,177,0.415254237288136,98,0.913129731140694,1.0,0,5936,0.0,236,1387,9,0.913129731140694
1.0,0.092456277734273,0,2007-03-26 01:44:58,Gue3bara,1.0,0.0,1,0,0.35,14,0.108039676324719,1.0,0,10106,0.0,40,0,1,0.108039676324719
0.0,0.0717045157922214,0,2007-10-02 04:42:26,raafatology,1.0,0.0,2,0,0.642857142857143,27,0.0973897154789872,1.0,0,12755,0.0,42,0,0,0.0973897154789872
1.0,0.761472200469851,0,2009-06-17 06:51:45,h_a_nassar,1.0,0.0,1,578,0.636363636363636,7,0.761419994779431,1.0,0,7762,0.0,11,472,1,0.761419994779431
1.0,0.880788305925346,0,2010-10-15 22:23:53,amira_nosseir,1.0,0.0,1,383,0.45,36,0.880762203080136,1.0,0,8321,0.0,80,1041,1,0.880762203080136
n/a,0.978021404333072,"",2010-06-21 17:55:11,elshaheeed,n/a,0.0,n/a,200,0.482142857142857,27,0.978021404333072,1.0,0,3802,n/a,56,4374,"",0.978021404333072
1.0,0.930488123205429,0,2009-12-31 11:19:29,thawrah,1.0,0.0,3,1160,0.518134715025907,100,0.930488123205429,1.0,0,32219,0.0,193,1659,3,0.930488123205429
n/a,0.821613155833986,"",2009-12-06 12:27:00,reemabdellatif,n/a,0.0,n/a,292,0.125,1,0.821613155833986,1.0,0,1905,n/a,8,680,"",0.821613155833986
n/a,0.135160532498042,"",2009-04-30 07:52:19,jnoubiyeh,n/a,0.0,n/a,0,1.0,22,0.1347950926651,1.0,0,4007,n/a,22,0,"",0.1347950926651
n/a,0.968232837379274,"",2011-01-16 23:27:33,arabrevolution,n/a,0.0,n/a,136,0.627906976744186,27,0.968232837379274,1.0,0,2725,n/a,43,3164,"",0.968232837379274
n/a,0.97956147220047,"",2009-02-12 21:13:12,habibh,n/a,0.0,n/a,778,0.555555555555556,5,0.97956147220047,1.0,0,4522,n/a,9,4685,"",0.97956147220047
n/a,0.199738971547899,"",2009-04-30 10:48:51,almasryalyoum_a,n/a,0.0,n/a,0,0.702702702702703,26,0.209892978334638,1.0,0,9107,n/a,37,0,"",0.209892978334638
0.666666666666667,0.953876272513704,0,2009-06-10 21:25:23,kalimakhus,1.0,0.0,3,1150,0.280254777070064,44,0.953876272513704,1.0,0,57255,0.0,157,2317,2,0.953876272513704
0.5,0.991177238318977,0,2010-04-27 14:59:43,dostornews,1.0,n/a,62,3,n/a,"",0.991177238318977,n/a,"",12783,0.0,n/a,9624,31,0.991177238318977
n/a,0.971312973114069,"",2010-10-15 00:48:57,salmaeldaly,n/a,n/a,n/a,465,n/a,"",0.971312973114069,n/a,"",8367,n/a,n/a,3423,"",0.971312973114069
1.0,0.802453667449752,0,2010-10-28 13:53:44,minanaguib90,1.0,0.0,1,153,0.312883435582822,51,0.802505873140172,1.0,0,6742,0.0,163,602,1,0.802505873140172
n/a,0.987287914382668,"",2009-07-01 00:18:13,alialdafiri,n/a,0.0,n/a,82,0.257142857142857,27,0.987287914382668,1.0,0,2286,n/a,105,6977,"",0.987287914382668
n/a,0.981310362829548,"",2006-09-04 00:18:12,ahmed,n/a,0.0,n/a,1044,0.25,4,0.981310362829548,1.0,0,5663,n/a,16,4984,"",0.981310362829548
n/a,0.937849125554685,"",2009-05-14 14:35:40,demaghmak,n/a,n/a,n/a,125,n/a,"",0.937849125554685,n/a,"",8109,n/a,n/a,1838,"",0.937849125554685
n/a,0.966692769511877,"",2007-05-09 20:24:18,salamander,n/a,n/a,n/a,373,n/a,"",0.966692769511877,n/a,"",6826,n/a,n/a,3042,"",0.966692769511877
n/a,0.945131819368311,"",2007-11-17 01:41:19,tarawnah,n/a,n/a,n/a,253,n/a,"",0.945131819368311,n/a,"",6284,n/a,n/a,2041,"",0.945131819368311
