relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,relevant_user_gets_retweeted,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,relevant_total,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
0.863636363636364,77,0.812024591018026,19,2007-04-24 07:09:31,estr4ng3d,1.0,0.0,0,95,0.675324675324675,22,0.812024591018026,1.0,52,2095,0.0,0,650,0.812024591018026
0.5,7,0.8975461081588,1,2009-11-18 02:04:00,RiverDryFilm,1.0,0.0,0,222,0.571428571428571,2,0.897572157966031,1.0,4,826,0.0,0,1237,0.897572157966031
n/a,6,0.974549338334896,"",2008-12-28 16:41:39,beleidy,n/a,0.0,"",166,0.666666666666667,n/a,0.974549338334896,1.0,4,6504,n/a,0,4156,0.974549338334896
1.0,148,0.992185057830572,14,2007-03-25 10:58:09,waelabbas,1.0,0.0,0,238,0.743243243243243,14,0.992185057830572,1.0,110,45305,0.0,0,14562,0.992185057830572
0.454545454545455,39,0.927972283005106,5,2010-03-26 13:16:17,DannyRamadan,1.0,0.0,0,96,0.435897435897436,11,0.927972283005106,1.0,17,862,0.0,0,1662,0.927972283005106
0.666666666666667,2,0.952250703344795,4,2009-05-12 23:05:00,Linaattalah,1.0,0.0,0,144,0.5,6,0.952250703344795,1.0,1,1649,0.0,0,2366,0.952250703344795
0.909090909090909,151,0.96913097843076,70,2010-01-04 06:09:28,mfatta7,1.0,0.0,0,427,0.794701986754967,77,0.96913097843076,1.0,120,17473,0.0,0,3458,0.96913097843076
0.5,20,0.941492132958216,1,2007-01-05 00:37:53,gr33ndata,1.0,0.0,0,883,0.65,2,0.941492132958216,1.0,13,15924,0.0,0,2007,0.941492132958216
0.411764705882353,81,0.81976138376576,7,2010-05-18 09:59:41,AhmedDarweesh,1.0,0.0,0,1027,0.358024691358025,17,0.819787433572992,1.0,29,2416,0.0,0,685,0.819787433572992
n/a,n/a,0.853678232781077,"",2008-11-03 15:59:01,muiz,n/a,n/a,"",38,n/a,n/a,0.853678232781077,n/a,"",14078,n/a,"",864,0.853678232781077
1.0,140,0.934745232885277,19,2009-01-08 08:34:38,litfreak,1.0,0.0,0,444,0.421428571428571,19,0.934745232885277,1.0,59,10705,0.0,0,1824,0.934745232885277
0.75,43,0.963868917370011,3,2009-07-11 18:40:51,mosaaberizing,1.0,0.0,0,183,0.488372093023256,4,0.963868917370011,1.0,21,4487,0.0,0,3020,0.963868917370011
n/a,n/a,n/a,"",n/a,MohammadYasser,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,n/a,0.962331978743357,"",2010-05-21 05:05:23,NahlahAyed,n/a,n/a,"",16,n/a,n/a,0.962331978743357,n/a,"",213,n/a,"",2907,0.962331978743357
n/a,n/a,0.655725747629468,"",2010-01-23 20:50:22,mariamali7,n/a,n/a,"",102,n/a,n/a,0.655621548400542,n/a,"",1243,n/a,"",262,0.655621548400542
0.914285714285714,127,0.969730123997082,32,2006-12-27 23:54:07,Lastoadri,1.0,0.0,0,441,0.503937007874016,35,0.969730123997082,1.0,64,22370,0.0,0,3509,0.969730123997082
1.0,38,0.809784307596124,5,2009-01-03 01:40:06,Organica_,1.0,0.0,0,435,0.289473684210526,5,0.809784307596124,1.0,11,13278,0.0,0,640,0.809784307596124
1.0,30,0.920261540064603,2,2009-08-19 07:58:18,Beirutiyat,1.0,0.0,0,1839,0.466666666666667,2,0.920261540064603,1.0,14,6189,0.0,0,1525,0.920261540064603
0.733333333333333,54,0.968792330936751,11,2009-02-19 03:57:38,TravellerW,1.0,0.0,0,643,0.259259259259259,15,0.968792330936751,1.0,14,16890,0.0,0,3411,0.968792330936751
0.0,8,0.900255288110868,0,2009-05-19 19:27:53,parvezsharma,1.0,0.0,0,445,0.375,2,0.900281337918099,1.0,3,1437,0.0,0,1264,0.900281337918099
n/a,n/a,0.879597790976347,"",2007-08-16 09:42:38,Ayyachomsky,n/a,n/a,"",312,n/a,n/a,0.879597790976347,n/a,"",5635,n/a,"",1057,0.879597790976347
0.782608695652174,82,0.983119724914036,18,2009-03-13 22:03:49,Gsquare86,1.0,0.0,0,478,0.597560975609756,23,0.983119724914036,1.0,49,9350,0.0,0,6097,0.983119724914036
0.0,28,0.843961654683755,0,2010-08-13 23:20:00,ShawkattRaghib,1.0,0.0,0,586,0.321428571428571,1,0.843961654683755,1.0,9,1100,0.0,0,804,0.843961654683755
0.0,11,0.859904136709388,0,2010-03-15 08:27:31,waelabdelfattah,1.0,0.0,0,50,0.545454545454545,1,0.859878086902157,1.0,6,731,0.0,0,901,0.859878086902157
0.666666666666667,9,0.883609461289986,2,2009-02-07 13:59:57,Tom_El_Rumi,1.0,0.0,0,300,0.555555555555556,3,0.883609461289986,1.0,5,3949,0.0,0,1089,0.883609461289986
0.686274509803922,153,0.926122746691674,70,2010-06-16 09:03:04,RHelmii,1.0,0.0,0,82,0.666666666666667,102,0.926122746691674,1.0,102,3426,0.0,0,1626,0.926122746691674
1.0,41,0.959362300718975,5,2011-01-25 01:02:44,Alshaheeed,1.0,0.0,0,11,1.0,5,0.959362300718975,1.0,41,362,0.0,0,2717,0.959362300718975
1.0,13,0.958164009586329,5,2008-12-22 14:01:49,occupiedcairo,1.0,0.0,0,459,0.692307692307692,5,0.958164009586329,1.0,9,1252,0.0,0,2634,0.958164009586329
0.714285714285714,4,0.939303949150776,10,2007-09-14 22:36:33,Asadx,1.0,0.0,0,398,0.25,14,0.939251849536313,1.0,1,2043,0.0,0,1947,0.939251849536313
0.7,61,0.931619256017506,7,2009-02-10 18:06:41,Selnadeem,1.0,0.0,0,391,0.540983606557377,10,0.931619256017506,1.0,33,7935,0.0,0,1745,0.931619256017506
0.9,40,0.907757632593519,9,2009-03-04 12:48:56,Wa7damasrya,1.0,0.0,0,172,0.725,10,0.90778368240075,1.0,29,790,0.0,0,1354,0.90778368240075
n/a,33,0.94211732833177,"",2009-04-27 09:33:35,matthewteller,n/a,0.0,"",705,0.242424242424242,n/a,0.94211732833177,1.0,8,8244,n/a,0,2027,0.94211732833177
1.0,64,0.98702719599875,2,2008-10-16 01:25:33,avinunu,1.0,0.0,0,636,0.828125,2,0.98702719599875,1.0,53,31209,0.0,0,7907,0.98702719599875
0.5,31,0.9658487027196,2,2007-07-25 08:40:42,lisang,1.0,0.0,0,678,0.387096774193548,4,0.9658487027196,1.0,12,14679,0.0,0,3168,0.9658487027196
