followers_count,friends_count,created_at,followers_percentile,screen_name,statuses_count,friends_percentile,statuses_percentile
n/a,n/a,n/a,n/a,Asadx,n/a,n/a,n/a
1570,382,2009-02-10 18:06:41,0.931529745042493,Selnadeem,7720,0.93156195116424,0.93156195116424
1316,172,2009-03-04 12:48:56,0.914985835694051,Wa7damasrya,758,0.9149906520877,0.9149906520877
1975,702,2009-04-27 09:33:35,0.947705382436261,matthewteller,7847,0.947708345136253,0.947708345136253
7656,628,2008-10-16 01:25:33,0.989830028328612,avinunu,30939,0.989830604498329,0.989830604498329
3004,667,2007-07-25 08:40:42,0.969121813031162,lisang,14414,0.969123562404396,0.969123562404396
n/a,n/a,n/a,n/a,anjucomet,n/a,n/a,n/a
1444,199,2009-12-04 20:44:38,0.923881019830028,aGharbeia,2600,0.923857005268823,0.923857005268823
1071,165,2010-06-13 03:43:06,0.89385269121813,Firas_Atraqchi,3874,0.893858704889241,0.893830377882273
2966,854,2008-06-22 09:59:00,0.968526912181303,gamaleid,5951,0.968528695258059,0.968528695258059
1269,177,2007-12-05 14:04:11,0.911473087818697,wnawara,5863,0.911478103223613,0.911478103223613
0,0,2007-03-26 01:44:58,0.0115014164305949,Gue3bara,10106,0.0279587558778539,0.0279587558778539
0,0,2007-10-02 04:42:26,0.0627195467422096,raafatology,12755,0.108350801654297,0.108350801654297
453,579,2009-06-17 06:51:45,0.776827195467422,h_a_nassar,7754,0.776698204067758,0.776698204067758
992,380,2010-10-15 22:23:53,0.885637393767705,amira_nosseir,8252,0.885643872868393,0.885643872868393
4257,200,2010-06-21 17:55:11,0.979178470254958,elshaheeed,3783,0.979179649878194,0.979179649878194
1653,1160,2009-12-31 11:19:29,0.935750708215297,thawrah,32219,0.93575434819557,0.93575434819557
587,280,2009-12-06 12:27:00,0.81643059490085,reemabdellatif,1745,0.816412667837516,0.816412667837516
0,0,2009-04-30 07:52:19,0.165977337110482,jnoubiyeh,4007,0.254489830604498,0.254489830604498
2936,128,2011-01-16 23:27:33,0.968186968838527,arabrevolution,2415,0.968188771174438,0.968188771174438
4685,778,2009-02-12 21:13:12,0.981388101983003,habibh,4522,0.981389156421733,0.981389156421733
0,0,2009-04-30 10:48:51,0.203626062322946,almasryalyoum_a,9107,0.182992465016146,0.182992465016146
2276,1148,2009-06-10 21:25:23,0.956515580736544,kalimakhus,57163,0.956518044303439,0.956518044303439
10660,3,2010-04-27 14:59:43,0.993087818696884,dostornews,12806,0.993116537306668,0.993116537306668
3139,463,2010-10-15 00:48:57,0.970963172804533,salmaeldaly,8045,0.970964817857345,0.970964817857345
581,153,2010-10-28 13:53:44,0.814532577903683,minanaguib90,6724,0.814543085377599,0.814543085377599
6977,82,2009-07-01 00:18:13,0.988668555240793,alialdafiri,2286,0.988669197212622,0.988669197212622
4953,1044,2006-09-04 00:18:12,0.982832861189802,ahmed,5649,0.982833833777123,0.982833833777123
1729,124,2009-05-14 14:35:40,0.939093484419263,demaghmak,7932,0.939096935017846,0.939096935017846
3042,373,2007-05-09 20:24:18,0.969745042492918,salamander,6826,0.969746756557702,0.969746756557702
2030,253,2007-11-17 01:41:19,0.949065155807365,tarawnah,6283,0.949068041470738,0.949068041470738
