relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,relevant_user_gets_retweeted,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,relevant_total,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
0.625,74,0.997160571011774,5,2009-04-14 17:36:30,STXherry,1.0,0.0,0,54589,0.256756756756757,8,0.997160571011774,1.0,19,59680,0.0,0,54729,0.997160571011774
1.0,27,0.989970824215901,21,2007-03-04 12:05:41,rmack,1.0,0.0,0,1895,0.962962962962963,21,0.989970824215901,1.0,26,7670,0.0,0,10299,0.989970824215901
1.0,59,0.978691257684693,1,2010-04-11 15:39:49,carloslatuff,1.0,0.0,0,8,0.813559322033898,1,0.978691257684693,1.0,48,638,0.0,0,4935,0.978691257684693
0.757009345794392,306,0.909893716786496,162,2009-05-15 20:07:09,tharwacolamus,1.0,0.0,0,252,0.882352941176471,214,0.909893716786496,1.0,270,11523,0.0,0,1378,0.909893716786496
0.5,116,0.996874023132229,1,2008-12-24 16:04:51,ulil,1.0,0.0,0,447,0.405172413793103,2,0.996874023132229,1.0,47,28344,0.0,0,43544,0.996874023132229
0.954545454545455,14,0.983797019902053,21,2009-03-13 05:54:44,shadihamid,1.0,0.0,0,999,0.928571428571429,22,0.983823069709284,1.0,13,3316,0.0,0,6465,0.983823069709284
1.0,81,0.982911326456184,5,2010-12-12 04:11:26,anonymousirc,1.0,0.0,0,370,0.802469135802469,5,0.982911326456184,1.0,65,1875,0.0,0,6019,0.982911326456184
0.71875,334,0.887490882567469,92,2010-12-03 14:30:38,exiledsurfer,1.0,0.0,0,271,0.730538922155689,128,0.887490882567469,1.0,244,9791,0.0,0,1128,0.887490882567469
n/a,n/a,0.972986349901011,"",2007-03-22 13:32:14,McAndrew,n/a,n/a,"",463,n/a,n/a,0.972986349901011,n/a,"",471,n/a,"",3897,0.972986349901011
n/a,n/a,0.938678753777222,"",2010-12-24 19:41:22,anon_vv,n/a,n/a,"",291,n/a,n/a,0.938678753777222,n/a,"",1046,n/a,"",1927,0.938678753777222
